[+] PPP: Beggining PIGA policy parsing and loading...
[+] PPP: Policy successfully parsed. Setting up in the kernel...
[+] PPP: PIGA policy loadded :
[+] 	240853 signatures have been loaded
[+] 	156946 signatures have been ignored
[+] Policy stats : '<name> (<uint>): <count>'
[+] 	SID stats :
[+] 		system_u:object_r:hddtemp_client_packet_t (569): 411
[+] 		system_u:object_r:home_ssh_t (300): 3295
[+] 		system_u:object_r:hostname_exec_t (115): 901
[+] 		system_u:object_r:hotplug_etc_t (390): 39
[+] 		system_u:object_r:howl_client_packet_t (367): 411
[+] 		system_u:object_r:hplip_client_packet_t (551): 411
[+] 		system_u:object_r:http_cache_client_packet_t (449): 465
[+] 		system_u:object_r:http_client_packet_t (501): 465
[+] 		system_u:object_r:hwclock_exec_t (108): 887
[+] 		system_u:object_r:i18n_input_client_packet_t (343): 411
[+] 		system_u:object_r:iceauth_exec_t (0): 887
[+] 		system_u:object_r:iceauth_home_t (0): 823
[+] 		system_u:object_r:ifconfig_exec_t (119): 887
[+] 		system_u:object_r:imaze_client_packet_t (543): 411
[+] 		system_u:object_r:inetd_child_client_packet_t (568): 411
[+] 		system_u:object_r:initrc_tmp_t (113): 1
[+] 		system_u:object_r:initrc_var_run_t (52): 71
[+] 		system_u:object_r:innd_client_packet_t (438): 411
[+] 		system_u:object_r:insmod_exec_t (75): 887
[+] 		system_u:object_r:ipmi_client_packet_t (522): 411
[+] 		system_u:object_r:ipp_client_packet_t (562): 465
[+] 		system_u:object_r:ipsecnat_client_packet_t (351): 411
[+] 		system_u:object_r:iptables_exec_t (222): 887
[+] 		system_u:object_r:ircd_client_packet_t (446): 411
[+] 		system_u:object_r:isakmp_client_packet_t (290): 411
[+] 		system_u:object_r:iscsi_client_packet_t (307): 411
[+] 		system_u:object_r:isns_client_packet_t (406): 411
[+] 		system_u:object_r:iso9660_t (244): 1733
[+] 		system_u:object_r:jabber_client_client_packet_t (295): 411
[+] 		system_u:object_r:jabber_interserver_client_packet_t (415): 411
[+] 		system_u:object_r:java_exec_t (0): 1088
[+] 		system_u:object_r:java_tmp_t (0): 5
[+] 		system_u:object_r:kerberos_admin_client_packet_t (452): 411
[+] 		system_u:object_r:kerberos_client_packet_t (564): 411
[+] 		system_u:object_r:kerberos_master_client_packet_t (520): 411
[+] 		system_u:object_r:kismet_client_packet_t (410): 411
[+] 		system_u:object_r:kprop_client_packet_t (531): 411
[+] 		system_u:object_r:ktalkd_client_packet_t (334): 411
[+] 		system_u:object_r:ld_so_cache_t (42): 5
[+] 		system_u:object_r:ld_so_t (44): 1275
[+] 		system_u:object_r:ldap_client_packet_t (516): 479
[+] 		system_u:object_r:ldconfig_exec_t (234): 887
[+] 		system_u:object_r:lib_t (41): 1460
[+] 		system_u:object_r:lmtp_client_packet_t (550): 411
[+] 		system_u:object_r:load_policy_exec_t (279): 887
[+] 		system_u:object_r:locale_t (105): 5
[+] 		system_u:object_r:login_exec_t (254): 887
[+] 		system_u:object_r:lvm_exec_t (251): 887
[+] 		system_u:object_r:lxde_exec_t (0): 885
[+] 		system_u:object_r:lxsession_logout_exec_t (0): 446
[+] 		system_u:object_r:mail_client_packet_t (536): 411
[+] 		system_u:object_r:mail_spool_t (539): 823
[+] 		system_u:object_r:memcache_client_packet_t (555): 411
[+] 		system_u:object_r:memory_device_t (92): 6
[+] 		system_u:object_r:mmcc_client_packet_t (409): 411
[+] 		system_u:object_r:monopd_client_packet_t (532): 411
[+] 		system_u:object_r:mount_exec_t (62): 887
[+] 		system_u:object_r:mozilla_exec_t (0): 1443
[+] 		system_u:object_r:msnp_client_packet_t (332): 411
[+] 		system_u:object_r:munin_client_packet_t (488): 411
[+] 		system_u:object_r:mvfs_t (236): 1733
[+] 		system_u:object_r:mysqld_client_packet_t (288): 411
[+] 		system_u:object_r:nessus_client_packet_t (282): 411
[+] 		system_u:object_r:netif_t (10): 2637
[+] 		system_u:object_r:netsupport_client_packet_t (544): 411
[+] 		system_u:object_r:netutils_exec_t (118): 887
[+] 		system_u:object_r:newrole_exec_t (213): 887
[+] 		system_u:object_r:nfs_t (255): 8499
[+] 		system_u:object_r:nmbd_client_packet_t (308): 411
[+] 		system_u:object_r:node_t (12): 2437
[+] 		system_u:object_r:ntp_client_packet_t (537): 411
[+] 		system_u:object_r:ntpdate_exec_t (0): 887
[+] 		system_u:object_r:ocsp_client_packet_t (554): 411
[+] 		system_u:object_r:ooffice_exec_t (0): 468
[+] 		system_u:object_r:ooffice_lib_t (0): 12
[+] 		system_u:object_r:openvpn_client_packet_t (547): 411
[+] 		system_u:object_r:pam_console_exec_t (233): 887
[+] 		system_u:object_r:pam_exec_t (273): 443
[+] 		system_u:object_r:pam_var_run_t (503): 35
[+] 		system_u:object_r:passwd_exec_t (281): 887
[+] 		system_u:object_r:pegasus_http_client_packet_t (546): 411
[+] 		system_u:object_r:pegasus_https_client_packet_t (508): 411
[+] 		system_u:object_r:pgpkeyserver_client_packet_t (333): 411
[+] 		system_u:object_r:pinentry_exec_t (0): 887
[+] 		system_u:object_r:ping_exec_t (257): 887
[+] 		system_u:object_r:pingd_client_packet_t (292): 411
[+] 		system_u:object_r:pop_client_packet_t (329): 437
[+] 		system_u:object_r:portage_exec_t (210): 887
[+] 		system_u:object_r:portage_tmp_t (385): 11
[+] 		system_u:object_r:portmap_client_packet_t (460): 411
[+] 		system_u:object_r:postfix_policyd_client_packet_t (565): 411
[+] 		system_u:object_r:postgresql_client_packet_t (527): 411
[+] 		system_u:object_r:postgrey_client_packet_t (345): 411
[+] 		system_u:object_r:power_device_t (541): 823
[+] 		system_u:object_r:prelude_client_packet_t (301): 411
[+] 		system_u:object_r:printer_client_packet_t (518): 411
[+] 		system_u:object_r:ptal_client_packet_t (405): 411
[+] 		system_u:object_r:ptmx_t (103): 823
[+] 		system_u:object_r:pulseaudio_client_packet_t (533): 411
[+] 		system_u:object_r:puppet_client_packet_t (454): 411
[+] 		system_u:object_r:pxe_client_packet_t (443): 411
[+] 		system_u:object_r:pyzor_client_packet_t (559): 411
[+] 		system_u:object_r:radacct_client_packet_t (364): 411
